fecha,linea,afluencia_total,afluencia_promedio
2016-12-09,Línea 9,389110,32425.833333333332
2016-12-11,Línea 2,536073,22336.375
2016-12-22,Línea 12,339490,16974.5
2018-08-18,Línea 1,680864,35834.94736842105
2013-07-15,Línea B,478436,22782.666666666668
2019-10-30,Línea 8,425954,22418.63157894737
2019-10-02,Línea 7,120111,8579.357142857143
2019-10-13,Línea 9,177050,14754.166666666666
2019-10-21,Línea A,261771,26177.1
2017-03-20,Línea 3,381656,18174.095238095237
2019-05-10,Línea 4,77251,7725.1
2018-10-28,Línea 3,378095,18004.52380952381
2018-10-16,Línea B,445811,22290.55
2018-10-29,Línea 7,360280,25734.285714285714
2018-10-06,Línea A,174181,19353.444444444445
2018-10-27,Línea 8,419904,23328.0
2013-08-29,Línea 8,399592,21031.157894736843
2013-08-12,Línea 2,913251,38052.125
2013-08-28,Línea A,309722,30972.2
2016-08-07,Línea 6,74297,6754.272727272727
2016-08-25,Línea 6,165719,15065.363636363636
2016-05-26,Línea 9,375607,31300.583333333332
2016-05-01,Línea 1,511852,25592.6
2016-05-24,Línea 3,736367,33471.22727272727
2017-12-19,Línea 6,199257,16604.75
2017-12-13,Línea 12,395153,19757.65
2017-12-12,Línea 3,617875,29422.619047619046
2017-12-24,Línea 2,367417,15309.041666666666
2019-08-13,Línea 9,304545,25378.75
2019-08-18,Línea 5,117179,10652.636363636364
2013-10-23,Línea 4,100551,10055.1
2013-10-10,Línea 3,791143,39557.15
2013-01-16,Línea 2,747386,33972.09090909091
2019-05-24,Línea 5,238704,18361.846153846152
2013-08-05,Línea B,461388,24283.57894736842
2016-12-04,Línea 8,290489,15288.894736842105
2018-08-24,Línea 4,96901,9690.1
2018-08-07,Línea B,441796,21037.904761904763
2013-07-27,Línea 9,260405,21700.416666666668
2013-07-05,Línea 4,82107,8210.7
2013-07-21,Línea 7,106285,8175.7692307692305
2017-03-19,Línea 9,175919,15992.636363636364
2019-05-11,Línea 8,381577,21198.722222222223
2018-10-03,Línea 7,401611,28686.5
2018-10-20,Línea 3,541013,25762.52380952381
2018-10-14,Línea 2,485097,20212.375
2013-08-03,Línea 3,544509,25929.0
2013-08-30,Línea 5,292080,22467.69230769231
2013-08-11,Línea 9,175777,14648.083333333334
2016-08-26,Línea 5,270006,20769.69230769231
2016-08-26,Línea 12,364932,18246.6
2017-12-07,Línea 7,369100,26364.285714285714
2017-12-06,Línea 8,444120,23374.736842105263
2017-08-10,Línea 1,719662,37876.94736842105
2017-08-17,Línea 12,374730,19722.63157894737
2017-08-01,Línea 6,148753,13523.0
2016-10-13,Línea 8,439322,23122.21052631579
2016-10-25,Línea 8,430488,22657.263157894737
2016-10-12,Línea B,444501,22225.05
2019-08-27,Línea 7,350383,25027.35714285714
2019-08-08,Línea 7,325477,25036.69230769231
2019-08-11,Línea 7,381991,27285.071428571428
2016-12-20,Línea 9,353771,29480.916666666668
2016-12-04,Línea B,312038,14858.952380952382
2016-12-19,Línea 3,606166,28865.04761904762
2018-08-08,Línea 9,347323,28943.583333333332
2013-07-13,Línea A,193005,19300.5
2013-07-21,Línea A,147815,14781.5
2013-07-01,Línea 7,286082,20434.428571428572
2019-10-11,Línea 6,74733,7473.3
2017-03-07,Línea 4,114799,10436.272727272728
2018-10-13,Línea 8,355768,18724.63157894737
2018-10-13,Línea 3,561820,26753.333333333332
2013-08-22,Línea 1,859889,42994.45
2013-08-20,Línea B,477715,23885.75
2016-08-18,Línea 12,358669,17933.45
2016-08-29,Línea 1,673078,37393.22222222222
2016-08-30,Línea 6,235121,19593.416666666668
2016-08-17,Línea 8,418966,22050.842105263157
2013-05-24,Línea 8,383974,21331.88888888889
2013-05-20,Línea 9,368544,30712.0
2016-05-31,Línea 8,388803,21600.166666666668
2016-05-22,Línea 3,372826,17753.619047619046
2016-05-31,Línea 3,712316,33919.80952380953
2017-12-17,Línea 4,69613,6961.3
2017-12-14,Línea 7,368887,24592.466666666667
2017-08-01,Línea 9,340886,28407.166666666668
2017-08-03,Línea 1,753318,37665.9
2016-10-11,Línea 2,836532,34855.5
2016-10-05,Línea 6,173488,15771.636363636364
2016-10-26,Línea 7,396930,28352.14285714286
2019-08-16,Línea A,284403,28440.3
2013-10-01,Línea 5,275978,21229.076923076922
2013-01-22,Línea B,448337,22416.85
2013-01-21,Línea A,139398,17424.75
2016-12-14,Línea 1,796171,41903.73684210526
2016-12-02,Línea B,428772,21438.6
2016-12-10,Línea 9,293829,26711.727272727272
2018-08-09,Línea 1,749434,37471.7
2018-08-05,Línea 3,310732,15536.6
2013-07-20,Línea 12,216808,11410.947368421053
2019-10-12,Línea 2,896859,37369.125
2017-03-23,Línea 4,97703,9770.3
2017-03-12,Línea 6,69988,6362.545454545455
2017-03-28,Línea 12,386865,19343.25
2017-03-01,Línea A,340309,34030.9
2013-08-16,Línea 1,864951,43247.55
2016-08-24,Línea 6,159095,15909.5
2016-08-01,Línea 3,681320,32443.809523809523
2013-05-17,Línea A,286504,28650.4
2013-05-10,Línea 12,222382,11119.1
2013-05-11,Línea 6,99312,9028.363636363636
2016-05-13,Línea 7,363966,25997.571428571428
2017-12-16,Línea 8,393427,20706.684210526317
2017-12-21,Línea 12,367944,18397.2
2017-12-08,Línea 3,812975,38713.09523809524
2017-08-03,Línea 3,687997,32761.761904761905
2017-08-08,Línea 12,373416,18670.8
2017-08-27,Línea 6,67941,6176.454545454545
2017-08-23,Línea 12,369882,19467.473684210527
2017-08-25,Línea 9,360727,30060.583333333332
2013-10-23,Línea 3,797843,39892.15
2013-10-02,Línea 1,823554,43344.94736842105
2013-10-02,Línea B,539916,25710.285714285714
2013-10-11,Línea 7,335553,25811.76923076923
2013-10-14,Línea 5,270902,22575.166666666668
2013-01-13,Línea 3,352162,17608.1
2013-01-09,Línea 6,151410,12617.5
2016-12-17,Línea 4,81093,10136.625
2018-08-09,Línea 9,351300,31936.363636363636
2013-07-07,Línea 3,357333,17015.85714285714
2013-07-30,Línea 7,304771,21769.35714285714
2019-10-13,Línea 12,195087,9754.35
2017-03-08,Línea 5,291570,22428.46153846154
2017-03-06,Línea 12,376195,18809.75
2017-03-18,Línea 8,380677,20035.63157894737
2017-03-12,Línea 5,139099,10699.923076923076
2019-05-24,Línea 1,714891,35744.55
2018-10-29,Línea 1,761837,38091.85
2013-08-26,Línea 4,77683,8631.444444444445
2013-08-29,Línea 9,404140,33678.333333333336
2016-08-22,Línea 7,310141,23857.0
2013-05-20,Línea 8,390327,20543.526315789473
2013-05-30,Línea 12,281257,14062.85
2013-05-24,Línea 2,948879,37955.16
2016-05-25,Línea 12,300255,15802.894736842105
2016-05-22,Línea 12,137889,6894.45
2016-10-13,Línea A,326377,32637.7
2016-10-01,Línea 6,119360,10850.90909090909
2019-08-26,Línea 7,320707,24669.76923076923
2013-10-21,Línea 5,269911,20762.384615384617
2013-01-27,Línea 3,346385,16494.52380952381
2019-05-03,Línea 1,702111,35105.55
2016-12-03,Línea 6,107067,10706.7
2016-12-15,Línea 3,703120,35156.0
2018-08-25,Línea B,405856,19326.47619047619
2013-07-12,Línea 3,709428,33782.28571428572
2013-07-11,Línea B,476796,22704.571428571428
2013-07-09,Línea B,437959,20855.190476190477
2019-10-16,Línea 4,89771,8977.1
2019-05-21,Línea 12,423629,21181.45
2018-10-30,Línea 3,699758,34987.9
2018-10-17,Línea 9,365980,33270.90909090909
2013-08-19,Línea 9,377715,31476.25
2016-08-10,Línea 7,338186,24156.14285714286
2013-05-05,Línea 12,119955,6664.166666666667
2016-05-28,Línea 12,231420,12180.0
2017-08-21,Línea 3,695023,36580.15789473684
2017-08-28,Línea 5,264903,20377.153846153848
2016-10-08,Línea 3,588599,29429.95
2016-10-03,Línea 9,299793,29979.3
2019-08-15,Línea 3,760168,36198.47619047619
2019-08-31,Línea 1,624278,31213.9
2013-10-28,Línea 7,313829,22416.35714285714
2013-10-21,Línea 6,160257,14568.818181818182
2013-01-12,Línea A,219472,21947.2
2016-12-27,Línea 11,118348,59174.0
2013-07-06,Línea 12,205888,10294.4
2013-07-04,Línea 8,390007,20526.684210526317
2013-07-31,Línea 4,60722,6746.888888888889
2019-10-31,Línea A,264671,26467.1
2019-10-06,Línea 9,291534,24294.5
2019-10-31,Línea 1,713125,35656.25
2017-03-04,Línea 1,640720,32036.0
2017-03-09,Línea 3,759150,36150.0
2017-03-02,Línea 6,169289,15389.90909090909
2018-10-31,Línea 9,364399,30366.583333333332
2013-08-27,Línea 1,838147,41907.35
2013-08-18,Línea 7,124123,8865.92857142857
2013-08-06,Línea 9,407078,33923.166666666664
2016-08-05,Línea 1,834710,41735.5
2016-08-30,Línea 4,81864,9096.0
2016-08-28,Línea 5,124335,9564.23076923077
2016-08-23,Línea 4,90542,9054.2
2013-05-29,Línea 1,792555,39627.75
2016-05-05,Línea 3,681203,32438.238095238095
2016-05-16,Línea 6,144508,13137.09090909091
2017-12-07,Línea A,187721,20857.88888888889
2017-12-27,Línea B,422570,20122.380952380954
2016-10-06,Línea 5,270951,20842.384615384617
2016-10-29,Línea A,255133,28348.11111111111
2019-08-27,Línea 4,88336,8833.6
2013-01-14,Línea 12,230627,11531.35
2013-01-02,Línea A,210880,21088.0
2013-01-08,Línea 12,217568,11450.947368421053
2016-12-15,Línea 2,933736,38905.666666666664
2016-12-14,Línea 3,753096,35861.71428571428
2016-12-18,Línea B,352646,17632.3
2016-12-01,Línea 12,384258,19212.9
2016-12-27,Línea 9,284394,23699.5
2018-08-14,Línea 3,729463,34736.333333333336
2018-08-10,Línea 5,281534,21656.46153846154
2013-07-04,Línea 4,83899,8389.9
2013-07-26,Línea 9,367102,30591.833333333332
2019-10-29,Línea 1,665952,35050.10526315789
2019-10-22,Línea B,453758,21607.52380952381
2017-03-16,Línea 5,265570,20428.46153846154
2019-05-30,Línea 2,809045,35175.86956521739
2018-10-12,Línea 7,428526,30609.0
2018-10-01,Línea 5,269030,20694.615384615383
2018-10-30,Línea B,444532,21168.190476190477
2013-08-19,Línea 7,314255,22446.785714285714
2013-08-10,Línea 7,220056,15718.285714285714
2013-05-21,Línea 1,826098,41304.9
2016-05-15,Línea 4,52952,5295.2
2016-05-21,Línea B,447222,22361.1
2016-05-17,Línea 6,158648,14422.545454545454
2017-08-03,Línea 8,386452,20339.57894736842
2017-08-23,Línea B,476809,22705.190476190477
2017-08-22,Línea 8,375267,19750.894736842107
2016-10-19,Línea 5,276253,21250.23076923077
2013-01-28,Línea 1,795047,39752.35
2013-01-06,Línea 9,144080,12006.666666666666
2013-01-25,Línea A,273504,27350.4
2019-05-23,Línea 7,365483,26105.928571428572
2013-08-02,Línea B,441395,22069.75
2013-08-07,Línea 5,261135,20087.30769230769
2017-12-26,Línea 12,279868,13993.4
2016-12-23,Línea 8,406333,21385.947368421053
2016-12-12,Línea 4,94670,9467.0
2016-12-11,Línea 6,90131,8193.727272727272
2018-08-20,Línea 8,387064,20371.78947368421
2013-07-06,Línea 8,318084,16741.263157894737
2013-07-23,Línea 5,199434,16619.5
2013-07-02,Línea 11,9000,9000.0
2019-10-04,Línea 3,748003,35619.19047619047
2019-10-20,Línea 2,456759,21750.428571428572
2019-10-15,Línea 6,169689,15426.272727272728
2017-03-09,Línea B,467374,22255.904761904763
2017-03-21,Línea 7,311651,22260.785714285714
2017-03-29,Línea 9,387881,32323.416666666668
2017-03-18,Línea 9,324080,27006.666666666668
2013-08-10,Línea 6,109240,9930.90909090909
2016-08-27,Línea A,269600,26960.0
2016-08-01,Línea 1,705485,37130.78947368421
