año,mes,linea,afluencia_total,afluencia_promedio_diaria
2016,10,Línea 1,21938684,35789.044045677
2013,10,Línea 9,11247409,30646.891008174385
2018,8,Línea 8,11370266,19912.900175131348
2017,12,Línea 6,4279577,12624.120943952803
2016,10,Línea 3,20500839,32183.420722135008
2016,10,Línea 11,15279,15279.0
2018,10,Línea 2,24210263,33119.37482900137
2017,8,Línea 5,7660566,19344.863636363636
2013,7,Línea B,13552312,21109.520249221183
2016,8,Línea 9,9981673,27272.330601092897
2019,5,Línea 8,11293168,19504.607944732295
2018,10,Línea 12,11748488,19386.94389438944
2016,12,Línea 1,21798114,35676.12765957447
2019,5,Línea B,13004454,20319.459375
2019,10,Línea 7,9299719,21881.691764705884
2018,8,Línea 1,21647410,35721.798679867985
2013,8,Línea 3,22132166,34420.16485225505
2016,8,Línea 11,29938,14969.0
2013,5,Línea 5,6931044,17636.24427480916
2013,7,Línea 2,24464319,33466.92065663475
2016,8,Línea 8,11680080,20172.84974093264
2013,5,Línea 4,2456427,8160.887043189368
2016,5,Línea 7,8862178,21000.421800947868
2016,10,Línea 2,24310304,32896.21650879567
2013,10,Línea 5,7758908,19494.743718592967
2013,8,Línea 11,52058,26029.0
2018,10,Línea 8,11595636,20027.00518134715
2013,10,Línea 12,9257968,15127.398692810457
2016,12,Línea B,13162384,20598.410015649453
2019,5,Línea 6,4335131,13018.41141141141
2016,8,Línea 4,2511328,8371.093333333334
2016,12,Línea 11,126923,42307.666666666664
2013,1,Línea 3,19568118,30527.485179407176
2013,7,Línea 12,7820305,12883.533772652389
2019,5,Línea 12,11651866,19195.82537067545
2019,5,Línea 7,9658936,22673.55868544601
2013,8,Línea 9,10772813,29433.915300546447
2013,5,Línea 2,25205553,34293.2693877551
2016,8,Línea 3,20612065,32106.020249221183
2019,8,Línea 2,23627725,32500.309491059146
2017,8,Línea 1,22162413,36272.36170212766
2017,8,Línea 3,20628747,32032.215838509317
2013,5,Línea 7,8181500,19250.58823529412
2019,8,Línea 9,8625823,23762.59779614325
2017,12,Línea 1,20098376,33165.63696369637
2016,12,Línea 2,23818883,32362.612771739132
2016,8,Línea A,8751263,28787.049342105263
2013,10,Línea 8,11929949,20711.71701388889
2016,10,Línea 6,4355230,12961.994047619048
2017,3,Línea 9,10103572,27987.734072022162
2013,8,Línea 5,7670170,19369.116161616163
2019,8,Línea B,13123508,20569.76175548589
2013,1,Línea 9,9766365,26757.164383561645
2016,5,Línea B,13284230,20887.154088050316
2017,3,Línea 11,25974,25974.0
2016,10,Línea 8,12133591,20956.115716753022
2013,1,Línea 8,10554418,18484.094570928195
2013,5,Línea 11,26452,26452.0
2016,12,Línea 9,9474921,26246.31855955679
2019,10,Línea 9,8578406,23631.972451790632
2017,3,Línea 7,9129157,21684.458432304036
2013,7,Línea 5,6679159,16995.315521628498
2017,3,Línea 3,20841753,32616.201877934272
2013,10,Línea 1,23292780,38436.930693069306
2017,8,Línea 11,112925,37641.666666666664
2013,10,Línea 6,4710467,13977.646884272997
2013,1,Línea B,13356103,21166.565768621236
2018,10,Línea 5,7673783,19476.60659898477
2016,5,Línea 2,23191179,31681.938524590165
2018,8,Línea 4,2685503,8690.948220064725
2018,8,Línea 9,9667399,26631.953168044078
2018,10,Línea 1,21486214,35050.92006525285
2013,5,Línea B,14018389,21972.396551724138
2017,12,Línea B,12712934,19988.889937106916
2017,3,Línea 8,11660619,20209.04506065858
2016,5,Línea 6,4187841,12426.827893175074
2018,8,Línea 7,9144907,21267.22558139535
2017,12,Línea 12,9440771,15630.415562913908
2013,7,Línea 6,3849069,11387.778106508877
2019,8,Línea 4,2533687,8334.496710526315
2019,5,Línea 3,19373018,30365.23197492163
2017,12,Línea 8,11079101,18971.063356164384
2017,8,Línea B,12809418,20204.12933753943
2019,8,Línea 7,9727719,22622.602325581396
2016,5,Línea 5,7147462,18140.76649746193
2019,10,Línea 3,19571993,30391.293478260868
2019,5,Línea 9,8881152,23938.415094339623
2013,8,Línea 4,2643753,8696.555921052632
2018,10,Línea 11,24689,24689.0
2016,10,Línea 12,9444820,15873.64705882353
2016,12,Línea 6,4063896,12059.038575667655
2017,8,Línea 4,2652071,8752.709570957095
2013,1,Línea 7,8033403,18769.633177570093
2013,1,Línea 2,24278680,33167.5956284153
2018,8,Línea 11,52209,17403.0
2017,3,Línea 4,2694079,8920.791390728476
2013,8,Línea 8,11284126,19796.712280701755
2013,10,Línea 11,152337,38084.25
2013,7,Línea 9,9907158,27068.737704918032
2017,8,Línea 9,9619301,26354.249315068493
2016,12,Línea 12,9201615,15109.384236453201
2013,10,Línea 2,25477326,35934.169252468266
2018,8,Línea 6,4321503,12900.00895522388
2013,8,Línea A,8077194,26310.078175895764
2016,10,Línea 4,2774686,9097.331147540983
2016,12,Línea 4,2828940,9305.723684210527
2016,10,Línea B,13504301,21233.177672955975
2018,8,Línea 12,11351744,18398.288492706644
2013,7,Línea 11,51962,17320.666666666668
2017,8,Línea 7,9120659,21460.374117647058
2016,5,Línea 9,9980598,27195.08991825613
2013,7,Línea 1,22454409,36570.6986970684
2018,10,Línea 4,2736443,9001.457236842105
