año,linea,afluencia_total,afluencia_prev,variacion_pct_yoy
2010,L-1,395014,,
2011,L-1,653240,395014,65.37135392669627
2012,L-1,431608,653240,-33.92811217929092
2013,L-1,357594,431608,-17.14843098367037
2014,L-1,329350,357594,-7.898342813358165
2015,L-1,619063,329350,87.9650827387278
2016,L-1,394277,619063,-36.31068243458259
2017,L-1,400284,394277,1.5235481653761187
2018,L-1,462867,400284,15.634649398926761
2019,L-1,307554,462867,-33.554563189857994
2020,L-1,245319,307554,-20.235470844144444
2023,L-1,26210,245319,-89.31595188305839
2024,L-1,49321,26210,88.17626859977108
2025,L-1,361385,49321,632.720342247724
2026,L-1,71513,361385,-80.21140888526087
2010,L-2,497155,,
2011,L-2,235534,497155,-52.62362844585693
2012,L-2,352038,235534,49.46377168476738
2013,L-2,306562,352038,-12.917923633244138
2014,L-2,628368,306562,104.97256672386011
2015,L-2,374471,628368,-40.40578132559265
2016,L-2,558241,374471,49.07456118097262
2017,L-2,473221,558241,-15.229981316313204
2018,L-2,330833,473221,-30.089112697872665
2019,L-2,486382,330833,47.017377347483475
2020,L-2,180303,486382,-62.929754801781314
2023,L-2,87144,180303,-51.668025490424455
2024,L-2,282671,87144,224.3723033140549
2025,L-2,357873,282671,26.60407328661235
2026,L-2,110639,357873,-69.08428408960721
2010,L-3,542220,,
2011,L-3,574729,542220,5.995536866954373
2012,L-3,605317,574729,5.322160531311279
2013,L-3,351272,605317,-41.968918764878566
2014,L-3,223327,351272,-36.42334145619349
2015,L-3,228484,223327,2.309169961536223
2016,L-3,275651,228484,20.64345862292327
2017,L-3,570509,275651,106.96786879060842
2018,L-3,231870,570509,-59.35734580874272
2019,L-3,318601,231870,37.40501142881787
2020,L-3,218279,318601,-31.488287858481296
2023,L-3,58104,218279,-73.38085661011824
2024,L-3,384960,58104,562.5361420900455
2025,L-3,371572,384960,-3.4777639235245217
2026,L-3,29864,371572,-91.96279590496593
2010,L-4,13028,,
2011,L-4,15468,13028,18.728891618053424
2012,L-4,57361,15468,270.83656581329194
2013,L-4,126897,57361,121.22522271229582
2014,L-4,78333,126897,-38.270408283883775
2015,L-4,59239,78333,-24.37542287413989
2016,L-4,59524,59239,0.48110197673829735
2017,L-4,12598,59524,-78.83542772663128
2018,L-4,13994,12598,11.081123987934593
2019,L-4,55031,13994,293.24710590252965
2020,L-4,9307,55031,-83.08771419745234
2023,L-4,18401,9307,97.7114000214892
2024,L-4,49684,18401,170.00706483343296
2025,L-4,50366,49684,1.3726753079462202
2010,L-5,184672,,
2011,L-5,147810,184672,-19.9607953560908
2012,L-5,133744,147810,-9.516270888302552
2013,L-5,280171,133744,109.48304222993181
2014,L-5,61087,280171,-78.19652997633588
2015,L-5,86397,61087,41.4327107240493
2016,L-5,101466,86397,17.44157783256363
2017,L-5,37056,101466,-63.47939211164331
2018,L-5,25570,37056,-30.996329879101896
2019,L-5,55670,25570,117.71607352366054
2020,L-5,108436,55670,94.78354589545536
2023,L-5,37684,108436,-65.24770371463352
2024,L-5,73471,37684,94.96603332979514
2025,L-5,153079,73471,108.35295558791904
2026,L-5,41903,153079,-72.6265523030592
2010,L-6,134251,,
2011,L-6,36394,134251,-72.89107716143641
2012,L-6,26026,36394,-28.488212342693853
2013,L-6,112085,26026,330.66548835779605
2014,L-6,48678,112085,-56.57045991881161
2015,L-6,237272,48678,387.43169398907105
2016,L-6,122337,237272,-48.44018678984457
2017,L-6,38006,122337,-68.9333562209307
2018,L-6,70781,38006,86.23638372888492
2019,L-6,111348,70781,57.3134033144488
2020,L-6,36728,111348,-67.01512375615188
2023,L-6,7007,36728,-80.92191243737747
2024,L-6,71697,7007,923.2196375053517
2025,L-6,4004,71697,-94.41538697574515
2010,L-7,176525,,
2011,L-7,205492,176525,16.409573714771277
2012,L-7,194198,205492,-5.496077706188076
2013,L-7,45867,194198,-76.38132215573796
2014,L-7,285210,45867,521.8196088691216
2015,L-7,169745,285210,-40.48420462115634
2016,L-7,221767,169745,30.647147191375296
2017,L-7,144676,221767,-34.76216028534453
2018,L-7,238509,144676,64.85733639304377
2019,L-7,226049,238509,-5.224121521619729
2020,L-7,150257,226049,-33.52901362094059
2023,L-7,61491,150257,-59.07611625415122
2024,L-7,158724,61491,158.12557935307606
2025,L-7,114055,158724,-28.142561931402938
2026,L-7,14845,114055,-86.98434965586779
2010,L-8,143775,,
2011,L-8,327469,143775,127.76491045035645
2012,L-8,293390,327469,-10.406786596593875
2013,L-8,255232,293390,-13.005896588159105
2014,L-8,217413,255232,-14.817499373119357
2015,L-8,78352,217413,-63.96167662467286
2016,L-8,204995,78352,161.63339799877477
2017,L-8,162527,204995,-20.716602843971803
2018,L-8,347013,162527,113.51098586696364
2019,L-8,141888,347013,-59.11161829672087
2020,L-8,127973,141888,-9.807030897609383
2023,L-8,72199,127973,-43.582630711165635
2024,L-8,214092,72199,196.53042285904237
2025,L-8,421879,214092,97.0550043906358
2026,L-8,15019,421879,-96.43997449505663
2010,L-9,237937,,
2011,L-9,86867,237937,-63.4915965150439
2012,L-9,210724,86867,142.58233851750376
2013,L-9,176521,210724,-16.231183918300715
2014,L-9,156721,176521,-11.216795735351601
2015,L-9,145339,156721,-7.262587655770446
2016,L-9,210062,145339,44.53243795540082
2017,L-9,206073,210062,-1.8989631632565624
2018,L-9,110249,206073,-46.50002668957117
2019,L-9,110819,110249,0.5170114921677295
2020,L-9,43228,110819,-60.99224862162625
2023,L-9,95284,43228,120.42194873692978
2024,L-9,212647,95284,123.1717812014609
