linea,estacion,afluencia_total,ranking_global
LINEA 2,Cuatro Caminos,533366543,1
LINEA 3,Indios Verdes,533101890,2
LINEA 8,Constituciáén De 1917,432408173,3
LINEA 2,Tasqueáa,380261100,4
LINEA 5,Pantitláén,379786618,5
LINEA A,Pantitláén,368426827,6
LINEA 9,Pantitláén,341047316,7
LINEA 3,Universidad,325737024,8
LINEA 2,Záécalo/tenochtitlan,299449322,9
LINEA 1,Observatorio,286731571,10
LINEA B,Ciudad Azteca,274303983,11
LINEA B,Buenavista,265700723,12
LINEA 9,Tacubaya,252636010,13
LINEA 1,Insurgentes,231220415,14
LINEA 1,Chapultepec,230740231,15
LINEA 1,Zaragoza,223420615,16
LINEA 1,Merced,220319922,17
LINEA 1,Pantitláén,202383837,18
LINEA 9,Chilpancingo,198026513,19
LINEA 3,Copilco,183581550,20
LINEA 7,Barranca Del Muerto,182948385,21
LINEA 3,Deportivo 18 De Marzo,178323582,22
LINEA A,La Paz,173246231,23
LINEA 2,Tacuba,171934918,24
LINEA 2,Normal,171206985,25
LINEA 7,El Rosario,159392630,26
LINEA 5,Politáócnico,157905283,27
LINEA 3,La Raza,157362634,28
LINEA 7,Polanco,154818007,29
LINEA B,Máózquiz,154148388,30
LINEA 3,Miguel Ángel De Quevedo,153858539,31
LINEA 2,Hidalgo,152998841,32
LINEA 2,Allende,151949400,33
LINEA 9,Puebla,149210377,34
LINEA 1,Pino Suáérez,148262042,35
LINEA 1,Gáémez Faráñas,147301625,36
LINEA 7,Auditorio,146750174,37
LINEA 1,Tacubaya,146258831,38
LINEA 12,Tláéhuac,139696691,39
LINEA 6,Martáñn Carrera,139012028,40
LINEA 2,Revoluciáén,138561488,41
LINEA 3,Etiopáña/plaza De La Transparencia,138487329,42
LINEA A,Santa Marta,136862493,43
LINEA 1,San Láézaro,134855272,44
LINEA 2,Bellas Artes,133892904,45
LINEA 8,San Juan De Letráén,133821795,46
LINEA 2,General Anaya,133031190,47
LINEA 2,Chabacano,132793530,48
LINEA 3,Zapata,132640773,49
LINEA B,Ecatepec,132062893,50
LINEA 1,Sevilla,129322167,51
LINEA 2,Pino Suáérez,128877088,52
LINEA 1,Boulevard Puerto Aáóreo,128192096,53
LINEA 8,Uam-i,123149389,54
LINEA B,Impulsora,122876905,55
LINEA 3,Coyoacáén,121411508,56
LINEA 2,San Cosme,118874700,57
LINEA 1,Moctezuma,117808842,58
LINEA B,Lagunilla,117747038,59
LINEA B,Nezahualcáéyotl,112179058,60
LINEA 7,San Joaquáñn,111333884,61
