mes,linea,afluencia_promedio_diaria
3,Línea 3,26825.85890587585
5,Línea A,23181.68951781971
3,Línea 12,14296.43687517852
7,Línea 5,14005.845679987364
12,Línea A,22536.597455888386
7,Línea 12,14084.959006426958
7,Línea 9,22596.71211592179
1,Línea 11,17483.25806451613
12,Línea 6,10623.803511393351
1,Línea 8,17535.4647700622
7,Línea 11,23879.222222222223
10,Línea 9,24731.1955144667
12,Línea 5,14711.18752952291
5,Línea 4,7349.8441722972975
5,Línea 11,14309.068965517241
8,Línea 12,15069.105821917808
10,Línea 3,28793.965092402465
1,Línea 2,27672.836757029803
5,Línea B,18420.72001190594
12,Línea 9,22356.81151378533
12,Línea 4,7888.35139002453
10,Línea 6,12076.731198808637
10,Línea 4,8103.6461538461535
8,Línea 9,23889.04855551688
3,Línea 4,7374.37531292124
8,Línea B,18822.932145305003
7,Línea 3,24885.00880626223
10,Línea A,24641.304303067736
3,Línea 6,11028.67990899545
3,Línea 9,23425.513491280028
5,Línea 12,14412.954022988506
8,Línea 8,18555.431697540895
1,Línea 12,13846.457549202702
12,Línea 11,24033.16
3,Línea 2,27887.91421647819
3,Línea 5,15130.671339099314
5,Línea 2,28002.11305099395
10,Línea 2,29853.250343642612
10,Línea B,19546.989228358794
10,Línea 11,31300.842105263157
8,Línea 7,17861.741883591694
5,Línea 5,15166.728967417734
3,Línea A,23242.331141199225
1,Línea 3,26035.889763779527
3,Línea 11,21054.227272727272
1,Línea 4,7048.329580745341
10,Línea 5,15643.727688426365
1,Línea B,17735.747111562992
1,Línea 5,14248.845464056194
8,Línea 6,11317.458465559082
7,Línea A,22354.430102822138
7,Línea 8,17489.334885231703
8,Línea 4,7617.878508502356
7,Línea 1,30237.580154431256
8,Línea 5,15603.451440264442
7,Línea 4,7082.58455882353
5,Línea 8,17943.08274725275
5,Línea 3,26736.102359882007
12,Línea 7,16544.324985354422
1,Línea 9,22498.688384336954
1,Línea 1,29509.708960104643
10,Línea 8,19330.757641448083
1,Línea 7,16874.247572815533
8,Línea 2,29166.868138476075
3,Línea 8,18117.70298949087
12,Línea 12,13692.644260599793
12,Línea 3,24871.468780583284
8,Línea 1,31740.966511085182
10,Línea 1,31539.370332187857
5,Línea 7,17412.70987837437
5,Línea 1,29440.04928475637
8,Línea 3,28035.986062378168
7,Línea B,17578.32010970712
1,Línea A,21950.63458179701
7,Línea 7,16872.73286570218
12,Línea 8,18249.808271083686
5,Línea 6,11010.828425821064
7,Línea 2,27239.653068220774
10,Línea 12,16166.752705061082
1,Línea 6,10451.852832186341
3,Línea 7,17367.76877168633
8,Línea A,24188.007984462667
12,Línea 1,30470.866107838694
12,Línea 2,28250.770926243567
3,Línea B,18421.001933879732
5,Línea 9,23369.41055408971
8,Línea 11,27401.125
3,Línea 1,29225.1500951978
7,Línea 6,10166.571082541457
12,Línea B,19176.358555207516
10,Línea 7,18991.14588820603
6,Línea 5,14752.768190067645
6,Línea 1,29744.906751298327
4,Línea 11,17030.428571428572
11,Línea 5,15762.37963719562
4,Línea 4,6991.1518906216625
11,Línea 4,7944.901441288682
11,Línea 11,23041.80769230769
6,Línea 8,18129.258690744922
6,Línea B,18166.16105597053
11,Línea 6,11762.54428186369
4,Línea 8,17360.495403587443
11,Línea 3,27924.722059565876
6,Línea 6,10810.379961089495
4,Línea 3,25726.9300515516
4,Línea A,22331.3190944041
4,Línea B,17773.95714430791
4,Línea 7,16546.90751708428
11,Línea 7,18626.657850989875
4,Línea 1,28599.84054775444
11,Línea 1,31039.48774795799
11,Línea 8,19148.075942288335
4,Línea 9,22410.808970401307
6,Línea 7,17431.864293321163
11,Línea 9,24295.906449326718
6,Línea 4,7161.511034926077
6,Línea 12,14595.86758747698
6,Línea A,23043.48911370134
6,Línea 2,27986.025625
4,Línea 5,14701.494836911981
4,Línea 2,26876.78784393524
6,Línea 3,26190.523684210526
11,Línea 12,15484.829295328584
11,Línea A,24296.79906542056
11,Línea 2,29784.317034139403
11,Línea B,19409.308400809718
4,Línea 6,10482.087158628705
6,Línea 11,16507.153846153848
6,Línea 9,23019.871577809798
4,Línea 12,13485.68888888889
9,Línea 5,15393.316148345251
9,Línea 3,27477.936896197327
9,Línea 7,17766.87467322774
9,Línea 1,30613.900536323745
9,Línea 2,28236.77910990009
9,Línea 9,23406.66690751445
9,Línea A,23709.25059821623
9,Línea B,18680.13281813498
9,Línea 6,11510.699019607842
9,Línea 12,15219.941305140357
9,Línea 8,18593.30063723259
9,Línea 4,7648.647261009667
9,Línea 11,21773.70588235294
2,Línea 5,15428.572198627899
2,Línea 1,29791.193578300685
2,Línea 7,18179.005614567526
2,Línea 11,15661.0
2,Línea A,23901.098828541002
2,Línea B,18906.846418454068
2,Línea 12,14870.55267571276
2,Línea 3,27945.579032584497
2,Línea 8,18572.282048408786
2,Línea 2,28908.97239705089
2,Línea 6,11483.435803657363
2,Línea 4,7518.712619300106
2,Línea 9,23999.253228120517
