año,afluencia_sistema_total,prev,crecimiento_pct
2010,1501959960,,
2011,1564687227,1501959960,4.176360799924387
2012,1578263799,1564687227,0.8676859992032132
2013,1652531373,1578263799,4.705650224446414
2014,1584888129,1652531373,-4.093310729538567
2015,1594235300,1584888129,0.5897685034651426
2016,1632830329,1594235300,2.4209117060699885
2017,1585762268,1632830329,-2.88260575297043
2018,1617701593,1585762268,2.014130720885585
2019,1565817671,1617701593,-3.207261600316666
2020,878749707,1565817671,-43.87918061757524
2021,779100764,878749707,-11.339855047029905
2022,1010340518,779100764,29.68033978208241
2023,1094548415,1010340518,8.334605561171802
2024,1150259661,1094548415,5.089884123581688
2025,1231734621,1150259661,7.08317980386865
2026,300838660,1231734621,-75.57601654845423
