linea,estacion,afluencia_promedio,capacidad_estimada,indice_saturacion,categoria_saturacion
L7,Aquiles Serdán,14802.76082557669,30813,48.04063488000743,Baja
LINENA 1,Aquiles Serdán,7838.0,30813,25.43731541881673,Baja
LÍNEA 7,Aquiles Serdán,7694.358769931663,30813,24.97114454915673,Baja
LINÉA 3,Aquiles Serdán,16031.5,30813,52.02836465128355,Media
L-7,Aquiles Serdán,12935.7,30813,41.98130659137377,Baja
LINEA B2,Aquiles Serdán,20400.0,30813,66.20582221789505,Media
LÍNEA 11,Aquiles Serdán,20371.0,30813,66.11170609807549,Media
LIENA 5,Aquiles Serdán,18609.0,30813,60.393340473176906,Media
LNIEA 4,Aquiles Serdán,6340.5,30813,20.57735371434135,Baja
LINEA  6,Aquiles Serdán,7034.0,30813,22.828027131405577,Baja
L5,Aragón,7090.642945544554,13713,51.70745238492346,Media
LINÉA 3,Aragón,5921.0,13713,43.178006271421275,Baja
LÍNEA 5,Aragón,5359.678449258837,13713,39.08465287871973,Baja
L-5,Aragón,8005.666666666667,13713,58.38012591458227,Media
LNIEA 4,Aragón,3558.0,13713,25.946182454605122,Baja
LIENA 5,Aragón,8812.0,13713,64.2601910595785,Media
LÍNEA 11,Aragón,9153.0,13713,66.74688252023627,Media
LINENA 1,Aragón,8549.0,13713,62.342302924232484,Media
LINEA B2,Aragón,7408.5,13713,54.02537737912929,Media
L8,Atlalilco,14973.28900203666,66539,22.503026799375796,Baja
LINEA 12,Atlalilco,16603.276037687803,66539,24.952698474109624,Baja
LINÉA 3,Atlalilco,15475.333333333334,66539,23.257538185625474,Baja
LNIEA 4,Atlalilco,27570.333333333332,66539,41.43484773340948,Baja
L-8,Atlalilco,14683.0,66539,22.066757841266025,Baja
LÍNEA 8,Atlalilco,14043.187857961053,66539,21.105198241574193,Baja
LIENA 5,Atlalilco,17878.333333333332,66539,26.868954047000003,Baja
LINENA 1,Atlalilco,13014.333333333334,66539,19.558955399590218,Baja
L7,Atlalilco,10248.0,66539,15.401493860743324,Baja
LÍNEA 12,Atlalilco,16942.964566929135,66539,25.463208895428448,Baja
LINEA  6,Atlalilco,10736.5,66539,16.135649769308223,Baja
LÍNEA 11,Atlalilco,18050.0,66539,27.12694810562227,Baja
L4,Bondojito,6144.448077318528,12359,49.71638544638343,Baja
L-4,Bondojito,6214.125,12359,50.280160207136504,Media
LÍNEA 4,Bondojito,4239.029782359679,12359,34.29913247317485,Baja
LINEA B2,Bondojito,5619.5,12359,45.46888906869488,Baja
LÍNEA 11,Bondojito,10398.5,12359,84.13706610567198,Alta
L7,Bondojito,6979.0,12359,56.46896998139008,Media
LINEA  6,Bondojito,5318.0,12359,43.029371308358286,Baja
LNIEA 4,Bondojito,3916.0,12359,31.685411441055102,Baja
LIENA 5,Bondojito,8997.0,12359,72.7971518731289,Media
L4,Canal Del Norte,8281.210234278667,15074,54.93704547086816,Media
L-4,Canal Del Norte,7715.0,15074,51.18084118349476,Media
LÍNEA 4,Canal Del Norte,5842.45632183908,15074,38.758500211218525,Baja
LNIEA 4,Canal Del Norte,5719.0,15074,37.939498474193975,Baja
LIENA 5,Canal Del Norte,7923.0,15074,52.56070054398302,Media
L7,Canal Del Norte,6653.0,15074,44.1355977179249,Baja
LINÉA 3,Canal Del Norte,7360.666666666667,15074,48.83021538189377,Baja
LINENA 1,Canal Del Norte,5607.0,15074,37.19649728008492,Baja
LINEA B2,Canal Del Norte,6940.0,15074,46.03953827782937,Baja
L1,Candelaria,22278.460847776154,64117,34.74657399406734,Baja
L4,Candelaria,7496.916921197312,64117,11.692557233178896,Baja
L-1,Candelaria,25656.833333333332,64117,40.01564847596321,Baja
LÍNEA 1,Candelaria,18994.774725274725,64117,29.62517698157232,Baja
LINEA  6,Candelaria,18844.0,64117,29.39002136718811,Baja
LÍNEA 4,Candelaria,7958.374282433984,64117,12.412268637699805,Baja
LIENA 5,Candelaria,15203.5,64117,23.712120030569118,Baja
LINENA 1,Candelaria,10578.333333333334,64117,16.498484541281304,Baja
L7,Candelaria,9384.5,64117,14.636523854827892,Baja
L-4,Candelaria,7907.142857142857,64117,12.332365608407843,Baja
LINEA B2,Candelaria,11130.0,64117,17.35889077779684,Baja
LINÉA 3,Candelaria,7503.0,64117,11.702044699533666,Baja
LÍNEA 11,Candelaria,6136.0,64117,9.570004834911177,Baja
LNIEA 4,Candelaria,6564.0,64117,10.237534507228972,Baja
LB,Ciudad Azteca,54379.80883550489,93236,58.32490543942779,Media
LÍNEA 11,Ciudad Azteca,42230.0,93236,45.2936633918229,Baja
LÍNEA B,Ciudad Azteca,35011.67676767677,93236,37.551671851727626,Baja
LIENA 5,Ciudad Azteca,65866.0,93236,70.64438628855807,Media
L-B,Ciudad Azteca,57591.545454545456,93236,61.769644187379825,Media
LINEA  6,Ciudad Azteca,55961.0,93236,60.02080741344545,Media
LNIEA 4,Ciudad Azteca,44323.333333333336,93236,47.538861956039874,Baja
LINENA 1,Ciudad Azteca,51730.0,93236,55.48286069758463,Media
L6,Ferrería/arena Ciudad De México,20395.75903369874,42745,47.71495855351209,Baja
LÍNEA 6,Ferrería/arena Ciudad De México,14282.897701149424,42745,33.414195113228274,Baja
LINEA  6,Ferrería/arena Ciudad De México,19380.0,42745,45.33863609778921,Baja
L-6,Ferrería/arena Ciudad De México,20715.125,42745,48.46210083050649,Baja
LIENA 5,Ferrería/arena Ciudad De México,30967.0,42745,72.44590010527547,Media
LINÉA 3,Ferrería/arena Ciudad De México,19426.5,42745,45.44742075096502,Baja
L7,Ferrería/arena Ciudad De México,20267.0,42745,47.41373260030413,Baja
LNIEA 4,Ferrería/arena Ciudad De México,14260.75,42745,33.36238156509533,Baja
LÍNEA 11,Ferrería/arena Ciudad De México,29670.0,42745,69.41162709088783,Media
LINEA B2,Ferrería/arena Ciudad De México,20211.0,42745,47.28272312551176,Baja
L1,Gómez Farias,17599.038372093022,31404,56.04075395520641,Media
L-1,Gómez Farias,15413.0,31404,49.07973506559674,Baja
LÍNEA 1,Gómez Farias,14597.0,31404,46.48133995669341,Baja
L5,Instituto Del Petróleo,5592.31059683313,13186,42.41097070251122,Baja
L6,Instituto Del Petróleo,3406.9084435401833,13186,25.83731566464571,Baja
LÍNEA 6,Instituto Del Petróleo,2037.052752293578,13186,15.448602702059594,Baja
LÍNEA 5,Instituto Del Petróleo,3994.836426914153,13186,30.296044493509427,Baja
LINEA B2,Instituto Del Petróleo,2959.25,13186,22.44236311239193,Baja
L-6,Instituto Del Petróleo,4048.3333333333335,13186,30.701754385964914,Baja
LNIEA 4,Instituto Del Petróleo,3902.1666666666665,13186,29.593255472976388,Baja
LIENA 5,Instituto Del Petróleo,4792.25,13186,36.343470347338084,Baja
LÍNEA 11,Instituto Del Petróleo,1337.0,13186,10.139541938419535,Baja
LINÉA 3,Instituto Del Petróleo,4679.25,13186,35.48650083421811,Baja
L-5,Instituto Del Petróleo,4481.125,13186,33.98396026088275,Baja
L7,Instituto Del Petróleo,3597.0,13186,27.27893220081905,Baja
LINENA 1,Instituto Del Petróleo,2477.0,13186,18.78507507962991,Baja
