año,mes,tipo_ingreso,ingreso_total
2022,10,Tarjetas,781320.0
2023,3,Rec.,933665.6
2021,11,Qr/val.,0.0
2022,3,Boletos,1.39847785E8
2022,1,Qr/validacion,3325.0
2022,8,Qr/validacion,0.0
2022,3,Tarjetas,1907940.0
2022,12,Bol.,1212875.0
2021,12,Qr/validación,306878.0
2021,11,Qr/validación,168470.0
2022,1,Boleto,1288025.0
2022,12,Tarjetas,897495.0
2022,10,Qr/validador,0.0
2022,3,Qr/validador,0.0
2022,12,Qr/validacion,0.0
2022,10,Recargas,2.8961609642102224E8
2022,1,Recargas,2.141461244664467E8
2022,10,Qr/validación,415695.0
2023,6,Qr/validacion,1880.0
2023,5,Tarjeta,24105.0
2022,10,Qr Validacion,0.0
2023,6,Tarj.,3150.0
2022,10,Bóletos,760775.0
2022,12,Recarga,567229.978440546
2023,7,Tarj.,3255.0
2023,6,Recargas,2.805705621904853E8
2023,3,Recarga,1462007.8
2023,1,Tarjetas,1432470.0
2023,7,Boleto,1715925.0
2022,12,Qr/validador,414810.0
2022,10,Codigo Qr,0.0
2022,1,Bol.,237775.0
2023,6,Boletos,1.2618078E8
2022,8,Recarga,3391078.0
2022,3,Qr/validación,356115.0
2023,7,Tarjeta,4785.0
2022,12,Boletos,1.43973365E8
2021,11,Qr/validador,0.0
2022,8,Tarj.,6210.0
2023,6,Boleto,0.0
2023,1,Recarga,319253.5
2021,11,Rec.,890582.0
2021,12,Qr/val.,0.0
2023,7,Bóletos,336550.0
2023,1,Boleto,466195.0
2022,1,Tarjetas,1761285.0
2022,3,Qr/val.,0.0
2023,5,Bóletos,525600.0
2023,5,Recargas,2.9210088806670344E8
2023,1,Qr/validacion,0.0
2022,1,Qr Validacion,0.0
2023,1,Qr/validador,397650.0
2023,7,Recargas,2.776377589999997E8
2022,10,Recarga,0.0
2022,10,Boletos,1.46621555E8
2023,1,Bol.,1305965.0
2022,3,Qr/validacion,0.0
2021,12,Tarjeta,8760.0
2021,11,Tarjeta,10830.0
2023,5,Boleto,860900.0
2021,12,Qr/validacion,0.0
2023,1,Recargas,2.624059398025964E8
2023,1,Tarjeta,3180.0
2023,5,Bol.,716680.0
2023,3,Tarjetas,1341525.0
2022,8,Qr/validador,0.0
2023,6,Tarjetas,1341135.0
2022,3,Recargas,2.66324039899612E8
2023,1,Boletos,1.2882713E8
2023,6,Rec.,836199.898645738
2023,1,Qr/validación,0.0
2023,3,Qr/validacion,0.0
2021,11,Recargas,2.3385311804914272E8
2023,7,Qr/validador,356475.0
2023,6,Bóletos,143500.0
2022,10,Qr Validación,0.0
2023,3,Qr/validación,0.0
2023,7,Recarga,713185.7
2022,8,Boletos,1.38305365E8
2022,1,Qr Validación,0.0
2021,12,Boletos,1.43445E8
2021,12,Tarjetas,2197830.0
2022,3,Bóletos,379080.0
2021,11,Tarj.,9000.0
2023,1,Tarj.,5175.0
2022,1,Rec.,343830.533553268
2023,6,Tarjeta,7710.0
2023,6,Qr/validador,38165.0
2022,10,Bol.,473300.0
2022,8,Tarjeta,24165.0
2022,10,Boleto,1624175.0
2022,8,Bol.,0.0
2021,11,Boletos,1.294914E8
2021,12,Tarj.,30900.0
2023,3,Qr Validacion,0.0
2022,12,Recargas,2.5850284476072872E8
2023,7,Qr Validacion,0.0
2022,3,Bol.,317750.0
2023,7,Rec.,888913.7
2021,12,Qr/validador,0.0
2022,8,Boleto,1830095.0
2022,10,Tarjeta,0.0
2022,12,Qr/validación,0.0
2022,3,Codigo Qr,0.0
2023,7,Qr/validación,0.0
2023,1,Qr Validacion,0.0
2023,6,Recarga,1619282.5
2023,6,Bol.,86375.0
2023,7,Tarjetas,2167590.0
2022,1,Boletos,1.1523213E8
2022,1,Qr/validación,264755.0
2022,1,Tarjeta,10830.0
2023,5,Recarga,205297.0
2023,5,Tarj.,3750.0
2021,12,Recarga,0.0
2022,8,Qr Validación,0.0
2021,12,Boleto,729150.0
2022,8,Rec.,863008.0
2022,10,Tarj.,3210.0
2022,8,Qr/validación,385920.0
2022,10,Qr/validacion,16805.0
2022,12,Boleto,448050.0
2022,8,Tarjetas,1859925.0
2021,11,Codigo Qr,0.0
2023,5,Tarjetas,1238955.0
2022,8,Recargas,2.7069565472934854E8
2023,1,Rec.,1776740.5
2021,11,Tarjetas,2094360.0
2023,3,Recargas,2.924399566756157E8
2022,3,Recarga,2418290.3
2023,3,Qr/validador,386480.0
2023,3,Boletos,1.34656735E8
2023,5,Boletos,1.27671005E8
2023,5,Qr/validador,356105.0
2022,1,Bóletos,270825.0
2022,12,Tarjeta,4095.0
2022,12,Rec.,577315.150727932
2022,10,Qr/val.,0.0
2023,7,Boletos,1.2246148E8
2022,3,Qr Validacion,0.0
2021,12,Recargas,2.4836559691586545E8
2023,1,Bóletos,391875.0
2023,3,Tarjeta,10005.0
2022,10,Rec.,197368.0
2023,3,Qr Validación,0.0
2022,1,Recarga,288132.0
2023,7,Qr/validacion,0.0
2022,12,Tarj.,2910.0
2022,4,Recarga,1310055.138227404
2013,7,Boleto,633015.0
2022,2,Tarj.,18915.0
2013,7,Recargas,1.9280710139000002E8
2022,2,Tarjeta,24990.0
2023,4,Bóletos,617825.0
2023,2,Qr/validador,360515.0
2022,7,Qr/validador,0.0
2022,5,Rec.,403596.3
2023,4,Qr/validador,339305.0
2022,7,Recargas,2.373596830544538E8
2022,4,Tarjetas,891900.0
2021,5,Tarj.,17295.0
2022,11,Tarjeta,3120.0
2022,9,Qr Validacion,0.0
2023,4,Tarj.,3810.0
2022,2,Qr/validación,285230.0
2013,7,Rec.,2096572.33
2022,6,Tarjetas,670080.0
2021,5,Recarga,59425.0
2022,7,Boletos,1.2715048E8
2022,6,Tarjeta,1410.0
2023,2,Recarga,1018832.876119562
2023,4,Qr/validacion,0.0
2016,12,Recargas,2.756606781E8
2022,6,Qr/val.,0.0
2022,4,Boletos,1.3222604E8
2013,7,Recarga,688079.0
2022,11,Recarga,1323738.7
2016,12,Recarga,152083.0
2022,5,Boleto,1195160.0
2022,2,Qr/val.,0.0
2016,12,Boleto,2739485.0
2023,4,Qr Validacion,0.0
2022,9,Qr/val.,0.0
2022,2,Recargas,2.1861683438817558E8
2022,6,Boleto,174850.0
2022,4,Qr/val.,0.0
2023,2,Boletos,1.2039947E8
2023,4,Boletos,1.19567745E8
2022,2,Qr Validacion,0.0
2022,7,Bol.,278850.0
2022,5,Tarjetas,675480.0
2023,2,Recargas,2.5929842001159966E8
2021,5,Bóletos,49450.0
2022,6,Recargas,2.622857324706206E8
2022,7,Qr/validación,338330.0
2022,4,Boleto,298700.0
2022,7,Rec.,316379.934153101
2022,5,Recargas,2.689016601213439E8
2022,11,Qr/validacion,0.0
2022,9,Boleto,1136895.0
2022,6,Qr/validación,351350.0
2023,2,Boleto,649250.0
2013,7,Tarjeta,34700.0
2023,4,Rec.,1658069.2999999998
2022,6,Qr/validador,12835.0
2016,12,Boletos,3.0141129E8
2016,12,Tarjetas,1591050.0
2022,4,Qr/validación,306210.0
2016,12,Rec.,219384.0
2022,11,Tarjetas,738510.0
2022,9,Recargas,2.6160185431027427E8
2022,7,Boleto,892025.0
2022,11,Rec.,1213958.543920264
2022,2,Tarjetas,1885830.0
2023,4,Boleto,1135000.0
2016,12,Bóletos,1996050.0
2022,9,Recarga,1808651.1
2023,4,Tarjeta,9075.0
2023,4,Qr/validación,0.0
2023,4,Qr Validación,0.0
2022,2,Boletos,1.17383525E8
2022,7,Recarga,1172780.489524738
2022,2,Rec.,611391.0
2023,2,Tarjetas,1294455.0
2013,7,Bóletos,1688040.0
2022,6,Tarj.,3480.0
2022,11,Qr/validación,405735.0
2022,9,Boletos,1.32271215E8
2016,12,Bol.,2462025.0
2022,7,Qr Validación,0.0
2021,5,Boletos,9.202497E7
2022,6,Recarga,726043.0
2013,7,Tarjetas,1641040.0
2021,5,Tarjetas,1618245.0
2021,5,Rec.,147231.0
2022,11,Recargas,2.552018528309641E8
2022,7,Tarjetas,1200405.0
2023,4,Recargas,2.5319863393017703E8
2022,4,Recargas,2.46143858112929E8
2022,7,Tarj.,4515.0
2022,9,Tarjeta,6810.0
2022,7,Qr/validacion,0.0
2022,11,Boleto,974650.0
2022,5,Boletos,1.45338245E8
2023,2,Qr/validacion,0.0
2022,11,Bóletos,1447540.0
2022,7,Tarjeta,4050.0
2022,6,Boletos,1.4344773E8
2022,4,Qr Validación,0.0
2022,5,Qr/validación,381420.0
2022,4,Qr/validador,0.0
2022,5,Tarjeta,2235.0
2021,5,Bol.,596175.0
2023,2,Tarjeta,7800.0
2022,9,Qr/validador,0.0
2022,6,Rec.,607771.3
2023,4,Bol.,675775.0
2022,5,Recarga,3355908.25
2021,5,Recargas,1.8335395122E8
2022,9,Bol.,153150.0
2022,2,Boleto,1183900.0
2022,9,Qr/validación,384245.0
2023,4,Tarjetas,1206765.0
2022,2,Recarga,1395814.3118244251
2022,9,Tarjetas,1498455.0
2022,4,Tarjeta,8850.0
2022,9,Qr Validación,0.0
2023,2,Rec.,1079146.2
2013,7,Tarj.,2630.0
2022,9,Qr/validacion,0.0
2013,7,Boletos,1.90696824E8
2021,5,Boleto,700100.0
2016,12,Tarjeta,290.0
2022,11,Boletos,1.37994095E8
2017,11,Tarj.,41720.0
2017,5,Tarjeta,0.0
2016,8,Boletos,3.10005625E8
2017,4,Recargas,2.623851186E8
2016,10,Tarj.,3300.0
2017,10,Bóletos,1510350.0
2017,10,Tarjetas,1485050.0
2021,7,Recarga,1031006.0
2013,10,Tarj.,39470.0
2017,5,Boleto,862675.0
2017,10,Tarjeta,0.0
2017,4,Bol.,558000.0
2017,3,Recarga,3148062.0
2013,10,Rec.,1091046.0
2017,3,Tarjeta,490.0
2018,1,Tarj.,0.0
2017,3,Recargas,3.083036885E8
2021,7,Boleto,413900.0
2017,11,Tarjetas,1969210.0
2017,8,Recarga,277564.0
2017,10,Boleto,2286675.0
2016,8,Tarjetas,1654670.0
2017,4,Boleto,2718815.0
2017,3,Boleto,364600.0
2017,8,Bóletos,791750.0
2018,1,Recargas,2.81748389E8
2013,10,Boletos,2.04320979E8
2017,3,Tarjetas,1498100.0
2017,5,Boletos,2.87523785E8
2017,3,Bóletos,237850.0
2021,6,Tarjeta,285.0
2018,1,Tarjeta,17740.0
2016,10,Boleto,1080275.0
2017,5,Rec.,2112116.0
2017,10,Boletos,2.9590896E8
2017,5,Bóletos,540000.0
2017,8,Tarjeta,250.0
2021,7,Bóletos,94025.0
2016,8,Boleto,1724100.0
2021,6,Tarj.,1245.0
2013,10,Recargas,2.1840675925000015E8
2016,10,Tarjeta,20210.0
2021,6,Boleto,230700.0
2017,3,Boletos,2.96713415E8
2013,10,Boleto,1279560.0
2017,8,Recargas,3.094378624E8
2016,8,Bol.,2202200.0
2017,10,Recarga,3644806.0
2016,10,Bóletos,1289250.0
2017,5,Bol.,231575.0
2017,8,Bol.,382850.0
2017,4,Rec.,696693.0
2016,10,Recarga,1892132.0
2017,11,Recargas,2.99398542E8
2017,4,Boletos,2.63845935E8
2016,10,Recargas,3.1018935249999994E8
2017,8,Tarjetas,1646470.0
2016,10,Rec.,1100205.0
2021,6,Tarjetas,1654350.0
2021,6,Boletos,1.0117091E8
2013,10,Tarjeta,4670.0
2016,8,Tarj.,1090.0
2017,5,Recargas,2.998608097E8
2016,8,Recargas,3.050069966E8
2016,10,Boletos,3.12622125E8
2017,11,Bóletos,658350.0
2021,6,Bol.,667500.0
2017,4,Recarga,2222977.0
2021,7,Tarj.,3645.0
2016,8,Tarjeta,0.0
2017,4,Tarjetas,1416130.0
2016,10,Tarjetas,1529160.0
2017,8,Boleto,1352750.0
2017,11,Tarjeta,1570.0
2021,6,Recargas,1.9725486950446862E8
2017,8,Rec.,742636.0
2018,1,Boleto,594250.0
2018,1,Boletos,2.73350535E8
2018,1,Recarga,1545110.0
2017,4,Bóletos,2656475.0
2018,1,Tarjetas,2630950.0
2017,8,Boletos,2.9574927E8
2017,10,Recargas,2.964863143E8
2013,10,Bóletos,1003395.0
2017,11,Bol.,1492940.0
2013,10,Tarjetas,2228760.0
2017,11,Boletos,2.8305707E8
2021,7,Tarjeta,13290.0
2021,7,Boletos,1.0938389E8
2017,5,Recarga,1686863.0
2021,6,Recarga,2495770.0
2017,11,Boleto,1269475.0
2021,7,Recargas,2.1191221429130462E8
2017,4,Tarjeta,2370.0
2021,7,Tarjetas,1689060.0
2017,5,Tarjetas,1520990.0
2014,8,Recarga,1203754.6
2021,10,Tarjeta,4710.0
2016,11,Recarga,1851405.0
2020,1,Bol.,481455.0
2017,7,Boletos,2.7844894E8
2012,12,Boletos,2.10429174E8
2016,7,Boleto,3390005.0
2012,12,Tarjetas,3365510.0
2014,8,Boletos,3.18413225E8
2013,12,Recargas,1.4533889674999997E8
2021,10,Boleto,345935.0
2014,8,Bóletos,1089650.0
2014,7,Rec.,945267.5
2012,12,Tarjeta,6800.0
2013,12,Tarjetas,1371790.0
2020,1,Rec.,1307533.0
2012,12,Rec.,95214.0
2016,9,Boletos,2.9750519E8
2014,7,Recarga,1228231.5
2014,7,Tarjeta,6680.0
2016,9,Tarjetas,1440600.0
2014,8,Rec.,294848.0
2016,11,Boletos,3.0006256E8
2012,12,Recargas,1.6190908215E8
2020,1,Tarj.,8610.0
2012,12,Bóletos,287520.0
2014,7,Tarjetas,1465070.0
2016,11,Bol.,308200.0
2014,7,Boletos,2.98252035E8
2017,12,Boleto,1229800.0
2016,7,Tarjetas,1301580.0
2017,7,Recargas,2.8120097579999995E8
2017,6,Recarga,5053031.2
2017,12,Bol.,875900.0
2014,7,Bol.,1945400.0
2016,7,Boletos,2.94411705E8
2017,7,Boleto,677225.0
2017,6,Boleto,589875.0
2016,11,Boleto,2265190.0
2016,7,Recarga,881996.0
2020,1,Tarjeta,34860.0
2014,7,Boleto,1410455.0
2020,1,Boletos,2.22391595E8
2013,12,Boletos,3.76425722E8
2021,10,Bóletos,417850.0
2014,7,Recargas,2.3966905207000023E8
2021,10,Recarga,2528529.8
2017,12,Recargas,2.71564958E8
2016,11,Tarjetas,1354150.0
2013,12,Boleto,4505875.0
2014,7,Tarj.,5040.0
2014,8,Tarj.,1140.0
2014,8,Bol.,0.0
2020,1,Tarjetas,2.0698155E7
2021,10,Tarj.,7800.0
2021,10,Bol.,429625.0
2017,12,Recarga,1903176.0
2014,8,Tarjeta,20670.0
2020,1,Recargas,3.38893482E8
2014,8,Recargas,2.6350125819000012E8
2016,9,Recarga,1494650.0
2017,7,Tarjetas,1525740.0
2016,7,Tarjeta,0.0
2016,9,Bol.,1056135.0
2017,12,Tarjetas,1322310.0
2021,10,Tarjetas,1844145.0
