año,mes,linea,afluencia_total,ingreso_total,ingreso_por_pasajero
2023,5,Línea 9,8316088,3.660815553067814E7,4.402088521751831
2022,3,Línea 2,14076418,6.716763383581701E7,4.77164246158483
2021,11,Línea 2,11983081,5.749143504844968E7,4.797717302290595
2023,5,Línea 8,10841674,4.720047302565543E7,4.353614859260243
2023,6,Línea 6,3299227,1.2291194659343068E7,3.7254771070141786
2023,1,Línea B,10397202,4.878194005322956E7,4.691833442615577
2022,1,Línea 4,1383626,6232157.185285422,4.504220927682352
2022,12,Línea 4,2323515,1.016934975497105E7,4.376709319703574
2023,3,Línea 5,5432478,2.3866465441595595E7,4.393292608197511
2023,3,Línea 8,11387889,4.879618402310881E7,4.28491918239709
2022,12,Línea A,6553942,3.221158160443459E7,4.914840809460107
2022,12,Línea B,11048920,5.109342749839737E7,4.624291559573005
2023,3,Línea 7,6570171,3.415239049998186E7,5.198097659860277
2023,3,Línea 3,16011385,6.682087651984395E7,4.173335193666504
2021,12,Línea 6,2558355,1.0237945882212494E7,4.001769059498191
2022,10,Línea 1,5041659,2.3379753462414205E7,4.637313523666358
2021,12,Línea 3,11861074,5.669838173475176E7,4.780206390648247
2022,8,Línea A,6997864,3.4905345001596466E7,4.987999909914864
2023,7,Línea 4,2155782,8788037.663466236,4.076496446981298
2023,7,Línea 7,6005462,3.2900857082095332E7,5.478488929260618
2023,3,Línea 1,5262816,2.1699227305152647E7,4.123121025920847
2022,10,Línea 8,11067396,4.91281675206324E7,4.438999699715489
2021,12,Línea 4,1849291,8133375.176007759,4.398104557913146
2022,8,Línea 8,10114194,4.701514980994024E7,4.6484326689739435
2022,8,Línea 5,4960401,2.30977005633916E7,4.656418012050155
2022,10,Línea 9,8861070,3.949100404864389E7,4.456685710489126
2021,12,Línea B,9724352,4.718887413752426E7,4.852649733115817
2021,11,Línea 3,11405759,5.4512848694540635E7,4.779414390093692
2021,11,Línea 8,8441251,3.7752904566730194E7,4.472430042268639
2022,1,Línea 6,2171367,8011811.797686068,3.689754793955176
2023,7,Línea 12,3605311,1.939348198484358E7,5.379142599582554
2023,5,Línea 5,5035802,2.332148986027711E7,4.631137177410293
2023,1,Línea 7,5988775,3.1251851156281836E7,5.218404624699014
2023,5,Línea 12,3041032,1.5703828634324718E7,5.163980068057396
2022,3,Línea 8,9153374,4.147049366379802E7,4.530623752924115
2023,3,Línea B,11283675,5.184445199954526E7,4.5946424369316965
2022,3,Línea 1,13597153,6.250138071007965E7,4.596652013114778
2022,8,Línea 7,6138866,3.4293892152762294E7,5.586356202067661
2021,11,Línea 12,5000,0.0,0.0
2021,12,Línea 9,6105831,2.89798802710358E7,4.7462630837695645
2023,5,Línea 2,17099297,7.455551158253296E7,4.360150688214431
2022,10,Línea 2,16926059,8.439490253901125E7,4.986092896108377
2022,12,Línea 6,3369133,1.2793459411313E7,3.7972556771469095
2023,5,Línea 4,2236775,9749670.391584853,4.358806939269642
2023,7,Línea 9,7458156,3.3024786400441617E7,4.428009604578078
2023,6,Línea 7,6125966,3.427633268626254E7,5.59525349736883
2022,12,Línea 2,16250747,7.960117756953107E7,4.898308832789722
2023,5,Línea 1,5213191,2.0926566626582395E7,4.014156900559062
2021,12,Línea 2,13051418,6.3747973384387426E7,4.884371444113385
2023,1,Línea 2,14739566,7.3001772224355E7,4.95277623671925
2021,12,Línea 8,9149471,4.11936103310704E7,4.502294212536484
2023,5,Línea 7,6441115,3.493659966499998E7,5.423998743230012
2023,3,Línea 9,8668395,3.766048034585419E7,4.344573631664708
2023,6,Línea 5,4902399,2.110363074844803E7,4.304755844729902
2023,7,Línea 1,5143870,2.1892746181614645E7,4.256084656419125
2022,12,Línea 5,4916932,2.2074037632651053E7,4.489392497730506
2022,10,Línea A,7120208,3.4509670201954454E7,4.846722202771949
2022,3,Línea B,9439860,4.762937780931957E7,5.045559765644784
2022,1,Línea A,4138929,2.484597924314415E7,6.002997210907496
2022,8,Línea 6,3296262,1.3274556598071618E7,4.0271545763266445
2023,1,Línea 5,4685686,2.2331718750690706E7,4.765944357067611
2023,6,Línea 4,2157781,9078326.293050194,4.207251010667994
2022,12,Línea 1,4677371,2.0896416643784054E7,4.467555950508107
2022,10,Línea 3,16022191,7.209743352285321E7,4.499848586429485
2023,7,Línea 5,4614584,2.1097601295592718E7,4.5719400265750325
2022,8,Línea 3,15726049,6.542393843000236E7,4.160227303755849
2023,7,Línea B,10227666,4.823803818214267E7,4.7164268154770275
2023,5,Línea 3,15220018,6.289533908914077E7,4.1324089819828576
2022,8,Línea 4,2259911,9578346.477871934,4.238373315529653
2023,3,Línea 4,2356112,9691656.730934536,4.113410878147786
2022,10,Línea 4,2315659,1.053004022392222E7,4.547319024054154
